School,Sport,Division,Conference,Roster URL 2024 (candidate),Method,Roster URL 2025 (known good),2025 Player Count,Status,Notes
Trinity (CT),mens-soccer,NCAA D3,NESCAC,https://bantamsports.com/sports/mens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://bantamsports.com/sports/mens-soccer/roster,29,todo,
Trinity (TX),mens-soccer,NCAA D3,SCAC,https://trinitytigers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://trinitytigers.com/sports/mens-soccer/roster/2025,36,todo,
Trinity College,womens-soccer,NCAA D3,New England Small College Athletic Conference,https://bantamsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bantamsports.com/sports/womens-soccer/roster/2025,28,todo,
Trinity University,womens-soccer,NCAA D3,Southern Athletic Association,https://trinitytigers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://trinitytigers.com/sports/womens-soccer/roster/2025,30,todo,
Troy,womens-soccer,NCAA D1,Sun Belt,https://troytrojans.com/sports/womens-soccer/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251002032020/https://troytrojans.com/sports/womens-soccer/roster/,28,todo,
Truman State,mens-soccer,NCAA D2,GLVC,https://trumanbulldogs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://trumanbulldogs.com/sports/mens-soccer/roster/2025,32,todo,
Truman State,womens-soccer,NCAA D2,Great Lakes Valley Conference,https://trumanbulldogs.com/sports/womens-soccer/roster/2024,year-swap (direct),https://trumanbulldogs.com/sports/womens-soccer/roster/2025,30,todo,
Tufts,mens-soccer,NCAA D3,NESCAC,https://gotuftsjumbos.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gotuftsjumbos.com/sports/mens-soccer/roster/2025,34,todo,
Tufts University,womens-soccer,NCAA D3,New England Small College Athletic Conference,https://gotuftsjumbos.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gotuftsjumbos.com/sports/womens-soccer/roster/2025,31,todo,
Tulsa,mens-soccer,NCAA D1,AAC,https://tulsahurricane.com/sports/mens-soccer/roster/2024,year-swap (direct),https://tulsahurricane.com/sports/mens-soccer/roster/2025,28,todo,
Tulsa,womens-soccer,NCAA D1,American,https://tulsahurricane.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251103193530/https://tulsahurricane.com/sports/womens-soccer/roster,28,todo,
Tusculum,mens-soccer,NCAA D2,SAC,https://www.tusculumpioneers.com/sports/msoc/2024-26/roster,year-swap (direct),https://www.tusculumpioneers.com/sports/msoc/2025-26/roster,37,todo,
Tusculum,womens-soccer,NCAA D2,South Atlantic Conference,https://www.tusculumpioneers.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.tusculumpioneers.com/sports/wsoc/2025-26/roster,37,todo,
UAB,mens-soccer,NCAA D1,AAC,https://uabsports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uabsports.com/sports/mens-soccer/roster/2025,29,todo,
UAB,womens-soccer,NCAA D1,American,https://uabsports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251121001553/https://uabsports.com/sports/womens-soccer/roster,27,todo,
UC Davis,mens-soccer,NCAA D1,Big West,https://ucdavisaggies.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ucdavisaggies.com/sports/mens-soccer/roster/2025,29,todo,
UC Davis,womens-soccer,NCAA D1,Mountain West,https://ucdavisaggies.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ucdavisaggies.com/sports/womens-soccer/roster/2025,23,todo,
UC Irvine,mens-soccer,NCAA D1,Big West,https://ucirvinesports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ucirvinesports.com/sports/mens-soccer/roster/2025,25,todo,
UC Irvine,womens-soccer,NCAA D1,Big West,https://ucirvinesports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250923020347/https://ucirvinesports.com/sports/womens-soccer/roster,31,todo,
UC Merced,mens-soccer,NCAA D2,CCAA,https://ucmercedbobcats.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ucmercedbobcats.com/sports/mens-soccer/roster/2025,33,todo,
UC Merced,womens-soccer,NCAA D2,California Collegiate Athletic Association,https://ucmercedbobcats.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ucmercedbobcats.com/sports/womens-soccer/roster/2025,36,todo,
UC Riverside,mens-soccer,NCAA D1,Big West,https://gohighlanders.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gohighlanders.com/sports/mens-soccer/roster/2025,29,todo,
UC Riverside,womens-soccer,NCAA D1,Big West,https://gohighlanders.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251230073116/https://gohighlanders.com/sports/womens-soccer/roster,28,todo,
UC San Diego,mens-soccer,NCAA D1,Big West,https://ucsdtritons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ucsdtritons.com/sports/mens-soccer/roster/2025,31,todo,
UC San Diego,womens-soccer,NCAA D1,Big West,https://ucsdtritons.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251113101912/https://ucsdtritons.com/sports/womens-soccer/roster,28,todo,
UC Santa Barbara,mens-soccer,NCAA D1,Big West,https://ucsbgauchos.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ucsbgauchos.com/sports/mens-soccer/roster/2025,32,todo,
UC Santa Barbara,womens-soccer,NCAA D1,Big West,https://ucsbgauchos.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20260210014459/https://ucsbgauchos.com/sports/womens-soccer/roster,33,todo,
UCCS,mens-soccer,NCAA D2,RMAC,https://gomountainlions.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gomountainlions.com/sports/mens-soccer/roster/2025,32,todo,
UCCS,womens-soccer,NCAA D2,Rocky Mountain Athletic Conference,https://gomountainlions.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gomountainlions.com/sports/womens-soccer/roster/2025,29,todo,
UCF,mens-soccer,NCAA D1,AAC,https://ucfknights.com/sports/mens-soccer/roster/season/2024,year-swap (direct),https://ucfknights.com/sports/mens-soccer/roster/season/2025,29,todo,
UCF,womens-soccer,NCAA D1,Big 12,https://ucfknights.com/sports/womens-soccer/roster/season/2024,year-swap (direct),https://ucfknights.com/sports/womens-soccer/roster/season/2025,26,todo,
UCLA,mens-soccer,NCAA D1,Big Ten,https://uclabruins.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uclabruins.com/sports/mens-soccer/roster/2025,28,todo,
UCLA,womens-soccer,NCAA D1,Big Ten,https://uclabruins.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251126015631/https://uclabruins.com/sports/womens-soccer/roster,29,todo,
UConn,mens-soccer,NCAA D1,Big East,https://uconnhuskies.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uconnhuskies.com/sports/mens-soccer/roster/2025,28,todo,
UConn,womens-soccer,NCAA D1,Big East,https://uconnhuskies.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251216234133/https://uconnhuskies.com/sports/womens-soccer/roster,29,todo,
UIC,mens-soccer,NCAA D1,Horizon League,https://uicflames.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uicflames.com/sports/mens-soccer/roster/2025,28,todo,
UIC,womens-soccer,NCAA D1,Missouri Valley,https://uicflames.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251104024539/https://uicflames.com/sports/womens-soccer/roster,27,todo,
UIS,womens-soccer,NCAA D2,Great Lakes Valley Conference,https://uisprairiestars.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uisprairiestars.com/sports/womens-soccer/roster/2025,29,todo,
UIW,mens-soccer,NCAA D1,Southland,https://uiwcardinals.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uiwcardinals.com/sports/mens-soccer/roster/2025,28,todo,
UMBC,mens-soccer,NCAA D1,America East,https://umbcretrievers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://umbcretrievers.com/sports/mens-soccer/roster/2025,28,todo,
UMBC,womens-soccer,NCAA D1,America East,https://umbcretrievers.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251222023227/https://umbcretrievers.com/sports/womens-soccer/roster,29,todo,
UMSL,mens-soccer,NCAA D2,GLVC,https://umsltritons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://umsltritons.com/sports/mens-soccer/roster/2025,26,todo,
UMSL,womens-soccer,NCAA D2,Great Lakes Valley Conference,https://umsltritons.com/sports/womens-soccer/roster/2024,year-swap (direct),https://umsltritons.com/sports/womens-soccer/roster/2025,29,todo,
UMass,mens-soccer,NCAA D1,Atlantic 10,https://umassathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://umassathletics.com/sports/mens-soccer/roster/2025,26,todo,
UMass,womens-soccer,NCAA D1,MAC,https://umassathletics.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251113211435/https://umassathletics.com/sports/womens-soccer/roster,28,todo,
UMass Lowell,mens-soccer,NCAA D1,America East,https://goriverhawks.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goriverhawks.com/sports/mens-soccer/roster/2025,32,todo,
UMass Lowell,womens-soccer,NCAA D1,America East,https://goriverhawks.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251127165856/https://goriverhawks.com/sports/womens-soccer/roster,25,todo,
UNC Asheville,mens-soccer,NCAA D1,Big South,https://uncabulldogs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uncabulldogs.com/sports/mens-soccer/roster/2025,36,todo,
UNC Asheville,womens-soccer,NCAA D1,Big South,https://uncabulldogs.com/sports/womens-soccer/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251010180855/https://uncabulldogs.com/sports/womens-soccer/roster/,30,todo,
UNC Greensboro,mens-soccer,NCAA D1,SoCon,https://uncgspartans.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uncgspartans.com/sports/mens-soccer/roster/2025,28,todo,
UNC Greensboro,womens-soccer,NCAA D1,Southern,https://uncgspartans.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://uncgspartans.com/sports/womens-soccer/roster,24,todo,
UNC Pembroke,womens-soccer,NCAA D2,Conference Carolinas,https://uncpbraves.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uncpbraves.com/sports/womens-soccer/roster/2025,21,todo,
UNC Wilmington,womens-soccer,NCAA D1,CAA,https://uncwsports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251229225437/https://uncwsports.com/sports/womens-soccer/roster,30,todo,
UNCW,mens-soccer,NCAA D1,CAA,https://uncwsports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uncwsports.com/sports/mens-soccer/roster/2025,29,todo,
UNLV,mens-soccer,NCAA D1,Mountain West,https://unlvrebels.com/sports/mens-soccer/roster/2024,year-swap (direct),https://unlvrebels.com/sports/mens-soccer/roster/2025,25,todo,
UNLV,womens-soccer,NCAA D1,Mountain West,https://unlvrebels.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251112002826/https://unlvrebels.com/sports/womens-soccer/roster,29,todo,
USC,womens-soccer,NCAA D1,Big Ten,https://usctrojans.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251116030558/https://usctrojans.com/sports/womens-soccer/roster,27,todo,
USC Upstate,mens-soccer,NCAA D1,Big South,https://upstatespartans.com/sports/mens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251003174716/https://upstatespartans.com/sports/mens-soccer/roster,40,todo,
USC Upstate,womens-soccer,NCAA D1,Big South,https://upstatespartans.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251016185856/https://upstatespartans.com/sports/womens-soccer/roster,29,todo,
UT Dallas,mens-soccer,NCAA D2,Heartland,https://utdcomets.com/sports/mens-soccer/roster/2024,year-swap (direct),https://utdcomets.com/sports/mens-soccer/roster/2025,35,todo,
UT Dallas,womens-soccer,NCAA D2,Lone Star Conference,https://utdcomets.com/sports/womens-soccer/roster/2024,year-swap (direct),https://utdcomets.com/sports/womens-soccer/roster/2025,34,todo,
UT Martin,womens-soccer,NCAA D1,Ohio Valley,https://utmsports.com/sports/womens-soccer/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251014060738/https://utmsports.com/sports/womens-soccer/roster/,29,todo,
UT Permian Basin,womens-soccer,NCAA D2,Lone Star Conference,https://utpbfalcons.com/sports/womens-soccer/roster/2024,year-swap (direct),https://utpbfalcons.com/sports/womens-soccer/roster/2025,25,todo,
UT Rio Grande Valley,womens-soccer,NCAA D1,Southland,https://goutrgv.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251227060400/https://goutrgv.com/sports/womens-soccer/roster,27,todo,
UT Tyler,mens-soccer,NCAA D2,Heartland,https://uttylerpatriots.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uttylerpatriots.com/sports/mens-soccer/roster/2025,33,todo,
UT Tyler,womens-soccer,NCAA D2,Lone Star Conference,https://uttylerpatriots.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uttylerpatriots.com/sports/womens-soccer/roster/2025,35,todo,
UTEP,womens-soccer,NCAA D1,Mountain West,https://utepminers.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251127130753/https://utepminers.com/sports/womens-soccer/roster,30,todo,
UTRGV,mens-soccer,NCAA D1,WAC,https://goutrgv.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goutrgv.com/sports/mens-soccer/roster/2025,26,todo,
UTSA,womens-soccer,NCAA D1,American,https://goutsa.com/sports/soccer/roster/season/2024,year-swap (direct),https://goutsa.com/sports/soccer/roster/season/2025,28,todo,
Union (NY),mens-soccer,NCAA D3,Liberty League,https://unionathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://unionathletics.com/sports/mens-soccer/roster/2025,35,todo,
Union (TN),mens-soccer,NCAA D2,Mid-South,https://uuathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uuathletics.com/sports/mens-soccer/roster/2025,28,todo,
Union (TN),womens-soccer,NCAA D2,Gulf South Conference,https://uuathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uuathletics.com/sports/womens-soccer/roster/2025,29,todo,
Union College (NY),womens-soccer,NCAA D3,Liberty League,https://unionathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://unionathletics.com/sports/womens-soccer/roster/2025,26,todo,
United States Coast Guard Academy,womens-soccer,NCAA D3,New England Women's and Men's Athletic Conference,https://coastguardathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://coastguardathletics.com/sports/womens-soccer/roster/2025,29,todo,
United States Merchant Marine Academy,womens-soccer,NCAA D3,Skyline Conference,https://www.usmmasports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://www.usmmasports.com/sports/womens-soccer/roster/2025,32,todo,
University of California-Santa Cruz,womens-soccer,NCAA D3,Coast-to-Coast Athletic Conference,https://goslugs.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goslugs.com/sports/womens-soccer/roster/2025,30,todo,
University of Chicago,mens-soccer,NCAA D3,UAA,https://athletics.uchicago.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.uchicago.edu/sports/mens-soccer/roster/2025,31,todo,
University of Chicago,womens-soccer,NCAA D3,University Athletic Association,https://athletics.uchicago.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.uchicago.edu/sports/womens-soccer/roster/2025,33,todo,
University of Dallas,womens-soccer,NCAA D3,Southern Collegiate Athletic Conference,https://udallasathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://udallasathletics.com/sports/womens-soccer/roster/2025,21,todo,
University of Dubuque,womens-soccer,NCAA D3,American Rivers Conference,https://udspartans.com/sports/womens-soccer/roster/2024,year-swap (direct),https://udspartans.com/sports/womens-soccer/roster/2025,33,todo,
University of Hartford,womens-soccer,NCAA D3,Conference of New England,https://hartfordhawks.com/sports/womens-soccer/roster/2024,year-swap (direct),https://hartfordhawks.com/sports/womens-soccer/roster/2025,22,todo,
University of La Verne,womens-soccer,NCAA D3,Southern California Intercollegiate Athletic Conference,https://leopardathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://leopardathletics.com/sports/womens-soccer/roster/2025,29,todo,
University of Lynchburg,womens-soccer,NCAA D3,Old Dominion Athletic Conference,https://lynchburgsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://lynchburgsports.com/sports/womens-soccer/roster/2025,34,todo,
University of Maine at Farmington,womens-soccer,NCAA D3,North Atlantic Conference,https://goumfbeavers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goumfbeavers.com/sports/womens-soccer/roster/2025,23,todo,
University of Maine at Presque Isle,womens-soccer,NCAA D3,North Atlantic Conference,https://owls.umpi.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://owls.umpi.edu/sports/womens-soccer/roster/2025,18,todo,
University of Mary Hardin-Baylor,womens-soccer,NCAA D3,American Southwest Conference,https://cruathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://cruathletics.com/sports/womens-soccer/roster/2025,37,todo,
University of Mary Washington,womens-soccer,NCAA D3,Coast-to-Coast Athletic Conference,https://umweagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://umweagles.com/sports/womens-soccer/roster/2025,27,todo,
University of Minnesota-Morris,womens-soccer,NCAA D3,Upper Midwest Athletic Conference,https://morriscougars.com/sports/womens-soccer/roster/2024,year-swap (direct),https://morriscougars.com/sports/womens-soccer/roster/2025,24,todo,
University of Mount Union,womens-soccer,NCAA D3,Ohio Athletic Conference,https://athletics.mountunion.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.mountunion.edu/sports/womens-soccer/roster/2025,29,todo,
University of New England,mens-soccer,NCAA D3,CCC,https://athletics.une.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.une.edu/sports/mens-soccer/roster/2025,34,todo,
University of New England,womens-soccer,NCAA D3,Conference of New England,https://athletics.une.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.une.edu/sports/womens-soccer/roster/2025,27,todo,
University of Northwestern-St Paul,womens-soccer,NCAA D3,Upper Midwest Athletic Conference,https://unweagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://unweagles.com/sports/womens-soccer/roster/2025,26,todo,
University of Pittsburgh-Bradford,womens-soccer,NCAA D3,Allegheny Mountain Collegiate Conference,https://athletics.pittbradford.org/sports/wsoc/2024-26/roster,year-swap (direct),https://athletics.pittbradford.org/sports/wsoc/2025-26/roster,22,todo,
University of Pittsburgh-Greensburg,womens-soccer,NCAA D3,Allegheny Mountain Collegiate Conference,https://pittgreensburgathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://pittgreensburgathletics.com/sports/womens-soccer/roster/2025,30,todo,
University of Puget Sound,womens-soccer,NCAA D3,Northwest Conference,https://loggerathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://loggerathletics.com/sports/womens-soccer/roster/2025,25,todo,
University of Redlands,womens-soccer,NCAA D3,Southern California Intercollegiate Athletic Conference,https://goredlands.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goredlands.com/sports/womens-soccer/roster/2025,33,todo,
University of Rochester,womens-soccer,NCAA D3,University Athletic Association,https://uofrathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uofrathletics.com/sports/womens-soccer/roster/2025,28,todo,
University of Scranton,womens-soccer,NCAA D3,Landmark Conference,https://athletics.scranton.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.scranton.edu/sports/womens-soccer/roster/2025,35,todo,
University of St Thomas (TX),womens-soccer,NCAA D3,Southern Collegiate Athletic Conference,https://ustcelts.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ustcelts.com/sports/womens-soccer/roster/2025,31,todo,
University of Valley Forge,womens-soccer,NCAA D3,United East Conference,https://uvfpatriots.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uvfpatriots.com/sports/womens-soccer/roster/2025,18,todo,
University of Wisconsin-Eau Claire,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://blugolds.com/sports/womens-soccer/roster/2024,year-swap (direct),https://blugolds.com/sports/womens-soccer/roster/2025,30,todo,
University of Wisconsin-La Crosse,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://uwlathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uwlathletics.com/sports/womens-soccer/roster/2025,29,todo,
University of Wisconsin-Oshkosh,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://uwoshkoshtitans.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uwoshkoshtitans.com/sports/womens-soccer/roster/2025,35,todo,
University of Wisconsin-Platteville,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://letsgopioneers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://letsgopioneers.com/sports/womens-soccer/roster/2025,37,todo,
University of Wisconsin-River Falls,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://uwrfsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uwrfsports.com/sports/womens-soccer/roster/2025,30,todo,
University of Wisconsin-Stevens Point,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://athletics.uwsp.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.uwsp.edu/sports/womens-soccer/roster/2025,22,todo,
University of Wisconsin-Stout,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://stoutbluedevils.com/sports/womens-soccer/roster/2024,year-swap (direct),https://stoutbluedevils.com/sports/womens-soccer/roster/2025,32,todo,
University of Wisconsin-Superior,womens-soccer,NCAA D3,Upper Midwest Athletic Conference,https://uwsyellowjackets.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uwsyellowjackets.com/sports/womens-soccer/roster/2025,29,todo,
University of Wisconsin-Whitewater,womens-soccer,NCAA D3,Wisconsin Intercollegiate Athletic Conference,https://uwwsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uwwsports.com/sports/womens-soccer/roster/2025,27,todo,
University of the Ozarks,womens-soccer,NCAA D3,Southern Collegiate Athletic Conference,https://uofoathletics.com/sports/womens-soccer/roster/2024-26,year-swap (direct),https://uofoathletics.com/sports/womens-soccer/roster/2025-26,23,todo,
Upper Iowa,mens-soccer,NCAA D2,NSIC,https://uiupeacocks.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uiupeacocks.com/sports/mens-soccer/roster/2025,33,todo,
Upper Iowa,womens-soccer,NCAA D2,Great Lakes Valley Conference,https://uiupeacocks.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uiupeacocks.com/sports/womens-soccer/roster/2025,20,todo,
Ursinus,mens-soccer,NCAA D3,Centennial,https://ursinusathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ursinusathletics.com/sports/mens-soccer/roster/2025,33,todo,
Ursinus College,womens-soccer,NCAA D3,Centennial Conference,https://ursinusathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ursinusathletics.com/sports/womens-soccer/roster/2025,31,todo,
Ursuline,womens-soccer,NCAA D2,Great Midwest Athletic Conference,https://ursulinearrows.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ursulinearrows.com/sports/womens-soccer/roster/2025,32,todo,
Utah,womens-soccer,NCAA D1,Big 12,https://utahutes.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251203163905/https://utahutes.com/sports/womens-soccer/roster,28,todo,
Utah State,womens-soccer,NCAA D1,Pac-12,https://utahstateaggies.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://utahstateaggies.com/sports/womens-soccer/roster,23,todo,
Utah Tech,mens-soccer,NCAA D1,WAC,https://utahtechtrailblazers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://utahtechtrailblazers.com/sports/mens-soccer/roster/2025,28,todo,
Utah Tech,womens-soccer,NCAA D1,Big Sky,https://utahtechtrailblazers.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://utahtechtrailblazers.com/sports/womens-soccer/roster,21,todo,
Utah Valley,mens-soccer,NCAA D1,WAC,https://gouvu.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gouvu.com/sports/mens-soccer/roster/2025,28,todo,
Utah Valley,womens-soccer,NCAA D1,Big West,https://gouvu.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251125101303/https://gouvu.com/sports/womens-soccer/roster,27,todo,
Utica,mens-soccer,NCAA D3,Empire 8,https://uticapioneers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uticapioneers.com/sports/mens-soccer/roster/2025,38,todo,
Utica University,womens-soccer,NCAA D3,Empire 8,https://uticapioneers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uticapioneers.com/sports/womens-soccer/roster/2025,31,todo,
VCU,mens-soccer,NCAA D1,Atlantic 10,https://vcuathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://vcuathletics.com/sports/mens-soccer/roster/2025,26,todo,
VCU,womens-soccer,NCAA D1,Atlantic 10,https://vcuathletics.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250904064413/https://vcuathletics.com/sports/womens-soccer/roster,27,todo,
VMI,mens-soccer,NCAA D1,SoCon,https://vmikeydets.com/sports/mens-soccer/roster/2024,year-swap (direct),https://vmikeydets.com/sports/mens-soccer/roster/2025,28,todo,
VMI,womens-soccer,NCAA D1,Southern,https://vmikeydets.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251028140614/https://vmikeydets.com/sports/womens-soccer/roster,29,todo,
Valdosta State,womens-soccer,NCAA D2,Gulf South Conference,https://vstateblazers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://vstateblazers.com/sports/womens-soccer/roster/2025,28,todo,
Valparaiso,womens-soccer,NCAA D1,Missouri Valley,https://valpoathletics.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://valpoathletics.com/sports/womens-soccer/roster,27,todo,
Vanderbilt,womens-soccer,NCAA D1,SEC,https://vucommodores.com/sports/wsoc/roster,no year in URL — check the site for a 2024 season selector,https://vucommodores.com/sports/wsoc/roster,26,todo,
Vanguard,mens-soccer,NCAA D2,PacWest,https://vanguardlions.com/sports/mens-soccer/roster/2024,year-swap (direct),https://vanguardlions.com/sports/mens-soccer/roster/2025,33,todo,
Vanguard,womens-soccer,NCAA D2,Pacific West Conference,https://vanguardlions.com/sports/womens-soccer/roster/2024,year-swap (direct),https://vanguardlions.com/sports/womens-soccer/roster/2025,28,todo,
Vassar College,womens-soccer,NCAA D3,Liberty League,https://www.vassarathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://www.vassarathletics.com/sports/womens-soccer/roster/2025,31,todo,
